año,Estacion,semana epidemiologica,"AVERAGE de Temp, M","AVERAGE de Temp, m",AVERAGE de Precip,AVERAGE de Hum
2022,BAHÍA BLANCA_Buenos Aires,13,"21,54","7,40","0,00","59,86"
2022,BAHÍA BLANCA_Buenos Aires,14,"23,93","12,07","7,86","70,43"
2022,BAHÍA BLANCA_Buenos Aires,15,"20,53","7,84","1,29","77,43"
2022,BAHÍA BLANCA_Buenos Aires,16,"21,64","8,96","1,26","69,14"
2022,BAHÍA BLANCA_Buenos Aires,17,"17,57","4,06","0,10","63,14"
2022,BAHÍA BLANCA_Buenos Aires,18,"22,60","8,61","0,00","65,29"
2022,BAHÍA BLANCA_Buenos Aires,19,"15,94","6,70","5,29","78,43"
2022,BAHÍA BLANCA_Buenos Aires,20,"14,66","4,56","0,10","77,57"
2022,BAHÍA BLANCA_Buenos Aires,21,"11,74","1,69","1,29","78,00"
2022,BAHÍA BLANCA_Buenos Aires,22,"11,90","0,07","0,00","76,71"
2022,BAHÍA BLANCA_Buenos Aires,23,"16,90","3,29","0,00","67,29"
2022,BAHÍA BLANCA_Buenos Aires,24,"13,31","2,94","0,00","67,43"
2022,BAHÍA BLANCA_Buenos Aires,25,"9,09","-1,44","0,33","80,71"
2022,BAHÍA BLANCA_Buenos Aires,26,"13,69","3,01","0,43","66,00"
2022,BAHÍA BLANCA_Buenos Aires,27,"14,97","1,20","0,00","58,14"
2022,BAHÍA BLANCA_Buenos Aires,28,"12,00","2,46","0,09","76,14"
2022,BAHÍA BLANCA_Buenos Aires,29,"14,69","2,70","0,00","69,00"
2022,BAHÍA BLANCA_Buenos Aires,30,"12,93","5,20","5,71","87,14"
2022,BAHÍA BLANCA_Buenos Aires,31,"10,37","3,60","0,25","90,14"
2022,BAHÍA BLANCA_Buenos Aires,32,"16,97","4,27","0,00","72,71"
2022,BAHÍA BLANCA_Buenos Aires,33,"15,61","4,59","0,06","59,57"
2022,BAHÍA BLANCA_Buenos Aires,34,"18,69","3,76","0,00","56,57"
2022,BAHÍA BLANCA_Buenos Aires,35,"20,24","4,81","0,00","49,00"
2022,BAHÍA BLANCA_Buenos Aires,36,"19,86","5,39","0,00","51,29"
2022,BAHÍA BLANCA_Buenos Aires,37,"20,87","8,54","5,11","61,57"
2022,BAHÍA BLANCA_Buenos Aires,38,"16,47","4,66","2,07","77,86"
2022,BAHÍA BLANCA_Buenos Aires,39,"21,09","6,54","0,14","66,29"
2022,BAHÍA BLANCA_Buenos Aires,40,"19,97","6,97","1,00","66,29"
2022,BAHÍA BLANCA_Buenos Aires,41,"21,74","4,71","0,00","50,86"
2022,BAHÍA BLANCA_Buenos Aires,42,"22,31","6,79","0,86","66,86"
2022,BAHÍA BLANCA_Buenos Aires,43,"22,90","11,63","5,24","66,71"
2022,BAHÍA BLANCA_Buenos Aires,44,"26,90","8,10","0,00","50,57"
2022,BAHÍA BLANCA_Buenos Aires,45,"25,56","14,51","3,86","63,71"
2022,BAHÍA BLANCA_Buenos Aires,46,"28,30","13,31","3,71","65,86"
2022,BAHÍA BLANCA_Buenos Aires,47,"27,56","13,59","2,29","57,71"
2022,BAHÍA BLANCA_Buenos Aires,48,"29,90","15,49","1,14","59,43"
2022,BAHÍA BLANCA_Buenos Aires,49,"32,97","17,01","1,43","43,14"
2022,BAHÍA BLANCA_Buenos Aires,50,"30,80","12,76","0,00","44,86"
2022,BAHÍA BLANCA_Buenos Aires,51,"31,24","16,44","3,29","49,71"
2022,BAHÍA BLANCA_Buenos Aires,52,"31,96","14,59","0,14","42,13"
2022,BENITO JUÁREZ_Buenos Aires,1,"30,86","13,27","0,29","39,29"
2022,BENITO JUÁREZ_Buenos Aires,2,"37,91","16,50","0,86","41,29"
2022,BENITO JUÁREZ_Buenos Aires,3,"24,33","14,64","9,31","80,00"
2022,BENITO JUÁREZ_Buenos Aires,4,"29,10","12,99","0,33","58,57"
2022,BENITO JUÁREZ_Buenos Aires,5,"25,54","11,93","5,90","72,14"
2022,BENITO JUÁREZ_Buenos Aires,6,"25,34","9,96","5,43","65,57"
2022,BENITO JUÁREZ_Buenos Aires,7,"28,09","13,13","0,00","62,57"
2022,BENITO JUÁREZ_Buenos Aires,8,"25,76","13,94","6,43","72,00"
2022,BENITO JUÁREZ_Buenos Aires,9,"26,36","11,26","6,00","63,57"
2022,BENITO JUÁREZ_Buenos Aires,10,"24,04","8,64","0,00","66,14"
2022,BENITO JUÁREZ_Buenos Aires,11,"23,86","9,91","0,10","67,57"
2022,BENITO JUÁREZ_Buenos Aires,12,"21,64","11,50","17,14","78,86"
2022,BENITO JUÁREZ_Buenos Aires,13,"19,70","6,74","1,27","67,14"
2022,BENITO JUÁREZ_Buenos Aires,14,"23,10","9,59","2,71","69,86"
2022,BENITO JUÁREZ_Buenos Aires,15,"19,30","5,83","0,86","75,43"
2022,BENITO JUÁREZ_Buenos Aires,16,"20,14","8,27","0,80","74,71"
2022,BENITO JUÁREZ_Buenos Aires,17,"15,89","2,20","3,29","67,86"
2022,BENITO JUÁREZ_Buenos Aires,18,"19,51","7,31","0,00","71,29"
2022,BENITO JUÁREZ_Buenos Aires,19,"15,23","3,74","1,71","83,43"
2022,BENITO JUÁREZ_Buenos Aires,20,"14,36","3,93","0,29","77,57"
2022,BENITO JUÁREZ_Buenos Aires,21,"11,20","1,77","1,96","84,43"
2022,BENITO JUÁREZ_Buenos Aires,22,"10,90","-1,87","0,14","82,86"
2022,BENITO JUÁREZ_Buenos Aires,23,"15,79","-0,04","0,00","73,00"
